Rank,Player,Points,Country,Characters
1,"Bowser",17939,"","Bowser"
2,"Incineroar",17905,"","Incineroar"
3,"King K. Rool",16860,"","King K Rool"
4,"Byleth",15265,"","Byleth"
5,"King Dedede",15176,"","King Dedede"
6,"Donkey Kong",14981,"","Donkey Kong"
7,"Link",14829,"","Link"
8,"Ganondorf",14808,"","Ganondorf"
9,"Ridley",14137,"","Ridley"
10,"Zelda",13265,"","Zelda"
11,"Terry",12714,"","Terry"
12,"Dr. Mario",12596,"","Dr Mario"
13,"Captain Falcon",11794,"","Captain Falcon"
14,"Mii Gunner",11485,"","Mii Gunner"
15,"Kazuya",11390,"","Kazuya"
16,"Hero",11006,"","Hero"
17,"Pyra/Mythra",10624,"","Pyra / Mythra"
18,"Ness",10444,"","Ness"
19,"Mii Brawler",10423,"","Mii Brawler"
20,"Cloud",10421,"","Cloud"
