Rank,Player,Points,Country,Characters
1,"Byleth",6512,"","Byleth"
2,"Bowser",6281,"","Bowser"
3,"Incineroar",6233,"","Incineroar"
4,"Donkey Kong",5836,"","Donkey Kong"
5,"Kazuya",5821,"","Kazuya"
6,"Zelda",5655,"","Zelda"
7,"Link",5644,"","Link"
8,"Ganondorf",5627,"","Ganondorf"
9,"Terry",5624,"","Terry"
10,"Hero",5503,"","Hero"
11,"King K. Rool",5497,"","King K Rool"
12,"Ridley",5475,"","Ridley"
13,"King Dedede",5432,"","King Dedede"
14,"Banjo & Kazooie",5391,"","Banjo-Kazooie"
15,"Mii Gunner",5325,"","Mii Gunner"
16,"Cloud",5281,"","Cloud"
17,"Captain Falcon",5187,"","Captain Falcon"
18,"Ness",5166,"","Ness"
19,"Dr. Mario",5114,"","Dr Mario"
20,"Chrom",5064,"","Chrom"
21,"Sephiroth",5034,"","Sephiroth"
22,"Young Link",5013,"","Young Link"
23,"Piranha Plant",5009,"","Piranha Plant"
24,"Greninja",4996,"","Greninja"
25,"Pyra/Mythra",4983,"","Pyra / Mythra"
26,"Min Min",4917,"","Min Min"
27,"Mii Brawler",4868,"","Mii Brawler"
28,"Rosalina & Luma",4855,"","Rosalina And Luma"
29,"Marth",4775,"","Marth"
30,"Corrin",4719,"","Corrin"
31,"Toon Link",4673,"","Toon Link"
32,"Isabelle",4672,"","Isabelle"
33,"Joker",4662,"","Joker"
34,"Diddy Kong",4648,"","Diddy Kong"
35,"Daisy",4624,"","Daisy"
36,"Mega Man",4610,"","Mega Man"
37,"Luigi",4605,"","Luigi"
38,"Pokemon Trainer",4590,"","Pokemon Trainer"
39,"Mii Swordfighter",4566,"","Mii Swordfighter"
40,"Palutena",4551,"","Palutena"
41,"Shulk",4490,"","Shulk"
42,"Mewtwo",4490,"","Mewtwo"
43,"Ice Climbers",4470,"","Ice Climbers"
44,"Kirby",4464,"","Kirby"
45,"Snake",4388,"","Snake"
46,"Meta Knight",4385,"","Meta Knight"
47,"Dark Pit",4352,"","Dark Pit"
48,"Steve",4333,"","Steve"
49,"Rob",4292,"","Rob"
50,"Ryu",4240,"","Ryu"
51,"Mario",4203,"","Mario"
52,"Inkling",4190,"","Inkling"
53,"Wii Fit Trainer",4183,"","Wii Fit Trainer"
54,"Pac-Man",4156,"","Pac Man"
55,"Falco",4128,"","Falco"
56,"Little Mac",4121,"","Little Mac"
57,"Sheik",4104,"","Sheik"
58,"Pit",4088,"","Pit"
59,"Villager",4085,"","Villager"
60,"Roy",4078,"","Roy"
61,"Pichu",4051,"","Pichu"
62,"Olimar",4024,"","Olimar"
63,"Samus",3978,"","Samus"
64,"Mr. Game & Watch",3969,"","Mr Game And Watch"
65,"Lucas",3952,"","Lucas"
66,"Wario",3910,"","Wario"
67,"Yoshi",3899,"","Yoshi"
68,"Ike",3876,"","Ike"
69,"Wolf",3861,"","Wolf"
70,"Bowser Jr.",3858,"","Bowser Jr"
71,"Pikachu",3781,"","Pikachu"
72,"Jigglypuff",3779,"","Jigglypuff"
73,"Fox",3658,"","Fox"
74,"Bayonetta",3622,"","Bayonetta"
75,"Robin",3536,"","Robin"
76,"Lucario",3531,"","Lucario"
77,"Lucina",3522,"","Lucina"
78,"Dark Samus",3389,"","Dark Samus"
79,"Simon",3335,"","Simon"
80,"Ken",3327,"","Ken"
81,"Richter",3161,"","Richter"
82,"Peach",3129,"","Peach"
83,"Zero Suit Samus",3115,"","Zero Suit Samus"
84,"Sonic",2987,"","Sonic"
85,"Duck Hunt",1966,"","Duck Hunt"
