Rank,Player,Points,Country,Characters
1,"Hero",6872,"","Hero"
2,"Bowser",6602,"","Bowser"
3,"Zelda",6592,"","Zelda"
4,"Ganondorf",6309,"","Ganondorf"
5,"King K. Rool",6240,"","King K Rool"
6,"Dr. Mario",6213,"","Dr Mario"
7,"Incineroar",6144,"","Incineroar"
8,"Ridley",6061,"","Ridley"
9,"Terry",5728,"","Terry"
10,"Link",5725,"","Link"
11,"Pit",5704,"","Pit"
12,"Corrin",5668,"","Corrin"
13,"Donkey Kong",5548,"","Donkey Kong"
14,"Piranha Plant",5502,"","Piranha Plant"
15,"Olimar",5460,"","Olimar"
16,"Lucas",5459,"","Lucas"
17,"Ness",5435,"","Ness"
18,"Cloud",5329,"","Cloud"
19,"Daisy",5248,"","Daisy"
20,"Ike",5209,"","Ike"
21,"Isabelle",5178,"","Isabelle"
22,"Young Link",5178,"","Young Link"
23,"Yoshi",5150,"","Yoshi"
24,"Diddy Kong",5145,"","Diddy Kong"
25,"Chrom",5117,"","Chrom"
26,"Pokemon Trainer",5077,"","Pokemon Trainer"
27,"Rob",4990,"","Rob"
28,"Mario",4980,"","Mario"
29,"Captain Falcon",4906,"","Captain Falcon"
30,"Marth",4895,"","Marth"
31,"Kirby",4802,"","Kirby"
32,"Banjo & Kazooie",4715,"","Banjo-Kazooie"
33,"Lucina",4714,"","Lucina"
34,"Robin",4655,"","Robin"
35,"Pikachu",4510,"","Pikachu"
36,"Snake",4496,"","Snake"
37,"Samus",4436,"","Samus"
38,"Luigi",4399,"","Luigi"
39,"King Dedede",4380,"","King Dedede"
40,"Toon Link",4373,"","Toon Link"
41,"Palutena",4353,"","Palutena"
42,"Mega Man",4347,"","Mega Man"
43,"Bowser Jr.",4308,"","Bowser Jr"
44,"Jigglypuff",4268,"","Jigglypuff"
45,"Wolf",4210,"","Wolf"
46,"Pac-Man",4156,"","Pac Man"
47,"Mii Swordfighter",4106,"","Mii Swordfighter"
48,"Ice Climbers",4058,"","Ice Climbers"
49,"Inkling",4052,"","Inkling"
50,"Mewtwo",4026,"","Mewtwo"
51,"Zero Suit Samus",3929,"","Zero Suit Samus"
52,"Sheik",3887,"","Sheik"
53,"Mr. Game & Watch",3877,"","Mr Game And Watch"
54,"Little Mac",3877,"","Little Mac"
55,"Falco",3875,"","Falco"
56,"Roy",3867,"","Roy"
57,"Peach",3799,"","Peach"
58,"Mii Gunner",3710,"","Mii Gunner"
59,"Ken",3597,"","Ken"
60,"Fox",3561,"","Fox"
61,"Lucario",3528,"","Lucario"
62,"Greninja",3477,"","Greninja"
63,"Sonic",3348,"","Sonic"
64,"Wii Fit Trainer",3320,"","Wii Fit Trainer"
65,"Dark Pit",3316,"","Dark Pit"
66,"Pichu",3212,"","Pichu"
67,"Shulk",2797,"","Shulk"
68,"Simon",2155,"","Simon"
69,"Meta Knight",2063,"","Meta Knight"
70,"Bayonetta",1923,"","Bayonetta"
