Rank,Player,Points,Country,Characters
1,"Bowser",6446,"","Bowser"
2,"Incineroar",6398,"","Incineroar"
3,"Hero",6338,"","Hero"
4,"King Dedede",6294,"","King Dedede"
5,"Byleth",6129,"","Byleth"
6,"Link",5995,"","Link"
7,"Kazuya",5887,"","Kazuya"
8,"Ganondorf",5843,"","Ganondorf"
9,"Cloud",5781,"","Cloud"
10,"King K. Rool",5775,"","King K Rool"
11,"Banjo & Kazooie",5767,"","Banjo-Kazooie"
12,"Terry",5743,"","Terry"
13,"Ness",5668,"","Ness"
14,"Mewtwo",5569,"","Mewtwo"
15,"Dr. Mario",5564,"","Dr Mario"
16,"Donkey Kong",5535,"","Donkey Kong"
17,"Zelda",5530,"","Zelda"
18,"Min Min",5503,"","Min Min"
19,"Piranha Plant",5492,"","Piranha Plant"
20,"Daisy",5458,"","Daisy"
21,"Lucas",5383,"","Lucas"
22,"Pokemon Trainer",5378,"","Pokemon Trainer"
23,"Sephiroth",5341,"","Sephiroth"
24,"Mii Gunner",5310,"","Mii Gunner"
25,"Captain Falcon",5282,"","Captain Falcon"
26,"Diddy Kong",5225,"","Diddy Kong"
27,"Ridley",5221,"","Ridley"
28,"Corrin",5219,"","Corrin"
29,"Kirby",5115,"","Kirby"
30,"Ryu",5114,"","Ryu"
31,"Mario",5113,"","Mario"
32,"Joker",5082,"","Joker"
33,"Mii Brawler",5079,"","Mii Brawler"
34,"Lucario",5038,"","Lucario"
35,"Pichu",4970,"","Pichu"
36,"Young Link",4935,"","Young Link"
37,"Pyra/Mythra",4929,"","Pyra / Mythra"
38,"Olimar",4923,"","Olimar"
39,"Pit",4878,"","Pit"
40,"Yoshi",4705,"","Yoshi"
41,"Wii Fit Trainer",4700,"","Wii Fit Trainer"
42,"Ike",4691,"","Ike"
43,"Isabelle",4663,"","Isabelle"
44,"Dark Pit",4658,"","Dark Pit"
45,"Roy",4643,"","Roy"
46,"Palutena",4622,"","Palutena"
47,"Chrom",4613,"","Chrom"
48,"Rosalina & Luma",4611,"","Rosalina And Luma"
49,"Marth",4529,"","Marth"
50,"Falco",4442,"","Falco"
51,"Lucina",4407,"","Lucina"
52,"Ice Climbers",4359,"","Ice Climbers"
53,"Robin",4277,"","Robin"
54,"Dark Samus",4275,"","Dark Samus"
55,"Luigi",4237,"","Luigi"
56,"Greninja",4205,"","Greninja"
57,"Fox",4198,"","Fox"
58,"Little Mac",4111,"","Little Mac"
59,"Samus",4097,"","Samus"
60,"Sheik",4075,"","Sheik"
61,"Mr. Game & Watch",3985,"","Mr Game And Watch"
62,"Villager",3973,"","Villager"
63,"Richter",3942,"","Richter"
64,"Steve",3930,"","Steve"
65,"Rob",3905,"","Rob"
66,"Wario",3899,"","Wario"
67,"Meta Knight",3880,"","Meta Knight"
68,"Shulk",3874,"","Shulk"
69,"Jigglypuff",3871,"","Jigglypuff"
70,"Bowser Jr.",3827,"","Bowser Jr"
71,"Snake",3789,"","Snake"
72,"Pikachu",3728,"","Pikachu"
73,"Toon Link",3698,"","Toon Link"
74,"Ken",3690,"","Ken"
75,"Mega Man",3626,"","Mega Man"
76,"Bayonetta",3618,"","Bayonetta"
77,"Pac-Man",3567,"","Pac Man"
78,"Inkling",3529,"","Inkling"
79,"Wolf",3501,"","Wolf"
80,"Peach",3386,"","Peach"
81,"Mii Swordfighter",3229,"","Mii Swordfighter"
82,"Duck Hunt",2837,"","Duck Hunt"
83,"Sonic",2773,"","Sonic"
84,"Simon",2674,"","Simon"
85,"Zero Suit Samus",2582,"","Zero Suit Samus"
